id_estudiante,edad,genero,ciudad_origen,departamento_origen,estrato,puntaje_saber11,preferencia_area,universidad_codigo,universidad_nombre,universidad_departamento,universidad_tipo,universidad_acreditada,ranking_nacional,modalidad_programa,convenio_internacional,beca_disponible,eligio_universidad,cluster
81,17,0,4,3,3,274.3,1,0,1,2,1,1,1,2,1,1,0,2
82,19,1,1,3,5,267.9,0,0,1,2,1,1,1,2,1,1,0,2
83,23,1,0,3,1,314.5,1,1,3,2,0,1,2,2,0,0,1,2
84,24,0,4,4,6,293.3,0,0,1,2,1,1,1,1,0,1,0,2
85,20,1,4,3,3,321.4,2,4,0,1,0,0,30,0,0,0,0,2
86,24,0,2,0,3,314.2,1,1,3,2,0,1,2,2,0,1,0,2
87,19,0,1,0,5,297.8,1,0,1,2,1,1,1,0,1,0,0,2
88,20,0,2,0,4,274.6,1,2,4,3,1,1,10,0,1,0,1,2
89,25,1,3,2,5,254.6,4,0,1,2,1,1,1,0,1,1,1,2
90,17,1,0,1,3,286.6,3,3,2,0,1,1,5,0,0,0,1,2
91,20,1,3,1,3,325.7,3,1,3,2,0,1,2,2,1,0,1,2
92,17,0,2,3,4,306.4,2,0,1,2,1,1,1,2,1,1,1,2
93,21,1,1,0,3,262.6,4,2,4,3,1,1,10,2,1,0,0,2
94,21,1,3,3,6,305.2,3,3,2,0,1,1,5,2,0,1,0,2
95,19,1,0,0,5,311.6,1,3,2,0,1,1,5,2,1,1,1,2
96,22,0,2,3,3,273.5,1,0,1,2,1,1,1,2,1,1,0,2
97,24,0,3,1,6,304.6,3,2,4,3,1,1,10,2,0,1,1,2
98,20,1,0,4,6,301.7,0,0,1,2,1,1,1,2,0,0,1,2
99,20,1,2,1,3,265.7,0,4,0,1,0,0,30,2,0,0,1,2
111,25,1,3,0,5,310.7,0,0,1,2,1,1,1,1,0,1,1,2
122,17,0,3,3,6,316.8,3,0,1,2,1,1,1,1,0,0,0,2
133,23,0,1,4,5,332.5,2,3,2,0,1,1,5,1,1,0,1,2
144,18,0,1,0,4,331.6,0,0,1,2,1,1,1,2,0,1,1,2
155,24,0,0,2,2,258.7,2,1,3,2,0,1,2,0,1,0,0,2
166,20,1,1,0,1,271.9,0,2,4,3,1,1,10,1,0,0,1,2
177,24,0,3,0,4,315.5,4,4,0,1,0,0,30,0,1,0,1,2
188,20,1,1,2,1,315.4,0,0,1,2,1,1,1,0,1,0,1,2
199,23,0,3,3,5,315.5,4,3,2,0,1,1,5,0,1,1,1,2
210,22,1,4,4,2,415.6,4,0,1,2,1,1,1,0,1,0,0,2
221,23,0,1,0,3,317.1,0,3,2,0,1,1,5,2,0,1,1,2
232,21,0,3,3,3,334.1,1,4,0,1,0,0,30,0,0,0,1,2
243,25,0,0,3,2,328.6,1,1,3,2,0,1,2,2,1,1,1,2
254,24,0,1,3,2,319.5,2,3,2,0,1,1,5,2,1,1,1,2
265,25,1,0,4,3,290.5,3,0,1,2,1,1,1,2,0,1,1,2
276,20,1,0,4,1,322.8,3,2,4,3,1,1,10,1,0,1,0,2
287,22,0,0,2,4,276.8,2,2,4,3,1,1,10,2,0,0,0,2
298,20,1,1,0,2,292.9,1,2,4,3,1,1,10,2,0,0,1,2
309,20,0,2,0,2,285.4,4,2,4,3,1,1,10,1,0,0,0,2
320,22,1,3,3,6,302.5,1,3,2,0,1,1,5,0,0,0,1,2
331,18,1,1,1,5,369.4,0,1,3,2,0,1,2,0,1,1,1,2
342,25,0,4,2,1,244.0,3,1,3,2,0,1,2,0,0,1,1,2
353,25,0,2,0,1,320.6,3,3,2,0,1,1,5,1,1,0,1,2
364,18,1,3,4,6,251.6,4,4,0,1,0,0,30,0,0,0,1,2
375,24,1,3,0,3,285.8,2,2,4,3,1,1,10,2,1,1,0,2
386,17,1,3,2,1,332.7,1,0,1,2,1,1,1,2,0,0,0,2
397,20,1,2,1,6,301.9,0,3,2,0,1,1,5,2,0,1,1,2
408,19,0,1,4,1,267.7,0,0,1,2,1,1,1,0,1,0,1,2
419,23,0,0,4,1,278.5,0,3,2,0,1,1,5,2,1,1,1,2
430,20,1,4,3,6,320.4,3,4,0,1,0,0,30,2,0,1,0,2
441,20,0,2,1,1,278.1,1,2,4,3,1,1,10,0,0,0,0,2
452,20,1,1,0,6,306.5,3,1,3,2,0,1,2,0,1,0,0,2
463,22,1,1,2,6,301.4,1,3,2,0,1,1,5,0,0,1,0,2
474,19,0,0,3,3,280.5,4,3,2,0,1,1,5,2,0,1,1,2
485,22,0,1,0,1,364.3,0,0,1,2,1,1,1,1,0,0,1,2
496,23,1,3,0,1,319.0,0,3,2,0,1,1,5,0,0,1,1,2
507,21,0,4,1,4,239.2,4,2,4,3,1,1,10,1,1,1,0,2
518,24,1,3,0,3,305.6,0,2,4,3,1,1,10,1,1,0,1,2
529,22,0,2,4,3,280.1,2,3,2,0,1,1,5,0,0,0,0,2
540,19,0,4,0,5,325.6,1,2,4,3,1,1,10,0,0,1,0,2
551,22,1,2,4,2,276.2,2,4,0,1,0,0,30,2,1,0,0,2
562,21,1,0,1,1,296.6,4,4,0,1,0,0,30,0,1,0,0,2
573,18,0,2,1,2,315.1,1,2,4,3,1,1,10,2,0,1,0,2
584,22,1,1,4,5,326.0,0,4,0,1,0,0,30,0,0,0,1,2
595,22,0,1,2,6,264.0,0,1,3,2,0,1,2,0,1,1,0,2
606,23,0,2,3,2,290.0,1,2,4,3,1,1,10,0,1,1,0,2
617,18,1,3,0,1,285.8,2,2,4,3,1,1,10,2,0,1,0,2
628,18,0,0,0,4,280.4,2,2,4,3,1,1,10,1,1,0,0,2
639,18,1,3,3,1,353.0,3,2,4,3,1,1,10,0,1,1,0,2
650,23,1,3,1,2,312.1,1,4,0,1,0,0,30,2,0,0,1,2
661,23,1,3,4,6,262.2,1,0,1,2,1,1,1,0,0,1,0,2
672,20,0,1,0,5,327.5,2,0,1,2,1,1,1,1,0,1,0,2
683,18,0,4,1,6,363.7,0,4,0,1,0,0,30,2,1,0,0,2
694,18,1,4,2,5,331.0,4,2,4,3,1,1,10,0,1,1,0,2
705,23,0,3,1,6,254.4,1,2,4,3,1,1,10,1,1,0,1,2
716,22,0,2,2,2,285.5,4,4,0,1,0,0,30,2,0,0,1,2
727,23,0,0,1,4,338.0,1,0,1,2,1,1,1,1,0,1,0,2
738,17,0,3,3,1,278.8,4,1,3,2,0,1,2,0,0,1,0,2
749,18,0,2,0,4,313.3,0,1,3,2,0,1,2,0,1,0,1,2
760,21,1,0,0,5,323.2,3,3,2,0,1,1,5,1,0,0,1,2
771,23,1,2,4,4,272.2,4,0,1,2,1,1,1,1,1,1,0,2
782,25,1,4,0,1,298.2,0,1,3,2,0,1,2,0,0,0,0,2
793,17,0,3,4,3,202.8,4,4,0,1,0,0,30,0,1,1,0,2
804,19,0,0,1,6,269.3,1,1,3,2,0,1,2,2,0,1,0,2
815,22,0,0,0,6,292.4,0,0,1,2,1,1,1,1,1,0,0,2
826,20,0,3,1,6,262.6,3,0,1,2,1,1,1,2,0,0,0,2
837,22,1,1,2,3,349.0,0,2,4,3,1,1,10,2,0,1,0,2
848,23,1,3,0,1,257.1,1,0,1,2,1,1,1,1,1,0,1,2
859,22,1,1,1,1,286.8,2,2,4,3,1,1,10,0,0,0,1,2
870,20,0,1,4,4,303.9,3,1,3,2,0,1,2,0,1,1,1,2
881,18,0,3,1,6,343.2,3,4,0,1,0,0,30,2,1,1,0,2
892,22,0,3,1,4,256.9,3,1,3,2,0,1,2,1,1,1,0,2
903,24,0,3,4,1,334.9,0,1,3,2,0,1,2,0,0,1,1,2
914,19,1,2,1,6,300.3,3,4,0,1,0,0,30,2,0,1,1,2
925,20,0,1,0,3,270.6,2,3,2,0,1,1,5,1,1,1,1,2
936,17,1,0,1,5,313.9,1,4,0,1,0,0,30,0,1,1,0,2
947,22,0,3,1,4,306.0,0,1,3,2,0,1,2,0,0,1,1,2
958,17,1,1,0,5,282.0,1,2,4,3,1,1,10,0,1,1,1,2
969,23,0,1,3,1,302.1,0,0,1,2,1,1,1,2,1,0,0,2
980,19,0,0,3,1,288.4,0,2,4,3,1,1,10,2,1,1,1,2
991,18,0,1,1,6,303.4,3,2,4,3,1,1,10,2,1,1,1,2
1002,19,1,3,1,6,319.9,3,2,4,3,1,1,10,0,0,1,1,2
1013,19,0,1,2,5,347.6,4,4,0,1,0,0,30,0,0,0,0,2
1024,24,0,2,0,3,262.9,2,3,2,0,1,1,5,0,1,1,1,2
1035,18,1,3,3,5,364.0,4,3,2,0,1,1,5,1,1,0,0,2
1046,23,1,3,2,1,241.4,1,0,1,2,1,1,1,1,0,1,0,2
1057,18,0,1,3,3,295.4,2,1,3,2,0,1,2,1,1,0,0,2
1068,24,0,4,0,2,317.6,1,1,3,2,0,1,2,0,1,1,1,2
1079,21,1,0,0,4,308.4,4,4,0,1,0,0,30,1,0,0,0,2
1090,23,1,3,3,6,281.3,4,1,3,2,0,1,2,0,0,1,1,2
1101,20,1,0,1,3,293.8,2,0,1,2,1,1,1,1,1,0,1,2
1112,25,0,4,1,6,285.2,3,1,3,2,0,1,2,2,1,1,1,2
1123,17,0,3,4,1,282.3,1,4,0,1,0,0,30,0,0,1,1,2
1134,21,1,1,4,3,325.5,2,2,4,3,1,1,10,2,1,0,0,2
1145,24,0,0,2,1,310.7,4,4,0,1,0,0,30,1,0,1,0,2
1156,18,1,4,3,4,279.2,2,1,3,2,0,1,2,2,1,0,1,2
1167,23,1,4,0,3,327.0,4,1,3,2,0,1,2,1,1,1,0,2
1178,18,1,1,2,4,309.2,3,0,1,2,1,1,1,2,1,1,0,2
1189,21,1,1,2,2,324.4,2,1,3,2,0,1,2,1,1,0,1,2
1200,24,1,3,3,2,318.9,3,3,2,0,1,1,5,1,0,0,1,2
1211,22,1,3,0,4,275.1,1,3,2,0,1,1,5,1,0,0,1,2
1222,23,0,1,2,2,283.2,2,3,2,0,1,1,5,1,0,1,0,2
1233,25,1,0,0,2,322.4,0,3,2,0,1,1,5,2,0,1,1,2
1244,19,1,4,3,4,318.3,1,4,0,1,0,0,30,2,1,0,0,2
1255,20,1,1,4,3,299.4,0,0,1,2,1,1,1,1,1,0,0,2
1266,22,1,3,4,5,303.5,4,2,4,3,1,1,10,0,0,1,0,2
1277,20,0,2,0,5,338.3,0,2,4,3,1,1,10,1,1,0,1,2
1288,17,0,1,0,1,282.3,4,3,2,0,1,1,5,1,1,1,1,2
1299,17,1,2,4,3,316.4,2,1,3,2,0,1,2,0,1,1,1,2
1310,22,0,4,4,3,293.9,1,4,0,1,0,0,30,1,1,0,1,2
1321,20,1,0,0,6,293.5,4,3,2,0,1,1,5,2,0,0,0,2
1332,17,1,2,0,2,333.0,0,1,3,2,0,1,2,0,1,1,0,2
1343,20,0,4,4,1,324.8,2,4,0,1,0,0,30,2,1,1,1,2
1354,18,0,4,2,4,324.4,4,2,4,3,1,1,10,1,1,0,1,2
1365,24,0,4,3,4,339.2,4,0,1,2,1,1,1,2,0,0,0,2
1376,18,1,4,2,4,300.6,4,0,1,2,1,1,1,0,0,1,0,2
1387,19,1,2,2,1,320.5,4,2,4,3,1,1,10,1,0,0,0,2
1398,23,1,1,2,5,290.7,1,4,0,1,0,0,30,2,0,1,1,2
1409,20,1,1,1,2,309.7,2,1,3,2,0,1,2,2,0,0,0,2
1420,21,0,3,2,1,296.1,1,1,3,2,0,1,2,2,1,1,1,2
1431,18,0,0,1,2,302.9,3,1,3,2,0,1,2,0,0,0,0,2
1442,23,0,3,1,1,317.9,4,2,4,3,1,1,10,0,1,0,0,2
1453,17,1,1,2,4,275.5,4,2,4,3,1,1,10,2,0,0,0,2
1464,23,0,2,1,4,362.8,0,4,0,1,0,0,30,0,1,1,1,2
1475,18,0,3,4,3,269.8,3,3,2,0,1,1,5,1,1,0,1,2
1486,20,1,2,0,2,263.6,3,1,3,2,0,1,2,1,0,0,0,2
1497,21,0,1,3,1,334.7,0,0,1,2,1,1,1,2,0,0,0,2
1508,18,1,4,3,4,323.7,0,0,1,2,1,1,1,1,0,1,1,2
1519,17,1,4,1,3,318.7,0,3,2,0,1,1,5,2,1,0,0,2
1530,22,1,1,1,5,318.9,3,4,0,1,0,0,30,0,0,0,0,2
1541,24,1,3,4,1,299.6,2,2,4,3,1,1,10,2,0,0,0,2
1552,20,0,3,1,3,273.1,0,3,2,0,1,1,5,2,0,0,1,2
1563,25,0,3,3,3,302.3,3,4,0,1,0,0,30,1,1,1,0,2
1574,24,1,4,4,2,279.7,4,1,3,2,0,1,2,1,0,1,1,2
1585,20,0,0,3,4,329.3,3,2,4,3,1,1,10,0,0,0,1,2
1596,21,1,4,2,4,295.6,2,1,3,2,0,1,2,0,0,0,1,2
1607,20,0,0,3,2,275.2,4,0,1,2,1,1,1,0,1,1,1,2
1618,20,0,2,0,4,290.4,0,0,1,2,1,1,1,1,0,1,1,2
1629,24,0,2,3,4,312.4,2,3,2,0,1,1,5,2,0,0,1,2
1640,21,1,0,2,1,283.1,0,4,0,1,0,0,30,1,0,0,0,2
1651,20,1,2,4,6,275.3,2,2,4,3,1,1,10,2,1,0,0,2
1662,24,0,4,1,4,307.3,4,4,0,1,0,0,30,0,0,0,1,2
1673,25,0,4,3,6,307.3,2,3,2,0,1,1,5,1,0,1,1,2
1684,24,1,4,3,6,284.8,2,1,3,2,0,1,2,0,1,1,1,2
1695,21,0,4,0,6,285.9,2,2,4,3,1,1,10,1,0,1,1,2
1706,18,0,3,3,3,307.0,1,4,0,1,0,0,30,2,1,1,1,2
1717,19,1,4,1,5,256.6,3,3,2,0,1,1,5,2,0,0,1,2
1728,22,1,4,2,3,257.8,3,1,3,2,0,1,2,0,1,1,0,2
1739,24,1,3,3,3,278.4,0,3,2,0,1,1,5,1,0,1,1,2
1750,17,1,4,2,4,293.6,1,3,2,0,1,1,5,2,0,0,1,2
1761,22,0,3,2,2,309.3,4,4,0,1,0,0,30,1,0,1,1,2
1772,21,0,0,3,5,344.3,3,4,0,1,0,0,30,2,0,1,1,2
1783,20,1,0,2,6,325.7,1,3,2,0,1,1,5,1,1,0,0,2
1794,18,0,1,1,6,295.2,3,1,3,2,0,1,2,1,0,1,1,2
1805,17,1,0,1,5,299.4,3,4,0,1,0,0,30,1,0,1,1,2
1816,17,0,0,2,5,269.9,4,0,1,2,1,1,1,2,0,0,1,2
1827,25,1,4,2,5,299.4,1,4,0,1,0,0,30,0,1,1,1,2
1838,22,0,4,4,2,291.3,2,3,2,0,1,1,5,0,1,1,1,2
1849,17,1,1,2,4,309.7,2,4,0,1,0,0,30,1,0,0,1,2
1860,20,0,4,0,1,275.2,3,1,3,2,0,1,2,0,0,1,0,2
1871,22,0,1,2,1,315.6,2,0,1,2,1,1,1,1,1,1,0,2
1882,24,0,1,0,2,346.0,2,0,1,2,1,1,1,0,0,1,0,2
1893,23,0,0,4,1,296.7,1,1,3,2,0,1,2,2,1,0,0,2
1904,23,0,2,1,6,312.1,4,1,3,2,0,1,2,0,1,1,1,2
1915,24,1,0,1,4,320.7,4,4,0,1,0,0,30,2,1,1,0,2
1926,22,1,0,4,3,288.0,3,0,1,2,1,1,1,0,0,0,1,2
1937,17,1,2,1,6,306.7,4,2,4,3,1,1,10,0,0,0,1,2
1948,21,1,2,4,1,300.4,4,1,3,2,0,1,2,2,0,0,0,2
1959,18,0,0,0,2,302.9,1,3,2,0,1,1,5,1,1,0,0,2
1970,23,1,2,3,6,276.8,3,3,2,0,1,1,5,0,1,1,0,2
1981,24,0,4,2,5,300.7,0,0,1,2,1,1,1,0,1,0,1,2
1992,18,1,3,2,3,314.9,2,3,2,0,1,1,5,0,0,0,0,2
2003,19,0,3,1,6,343.5,3,2,4,3,1,1,10,2,1,0,1,2
2014,20,0,3,0,5,328.8,3,2,4,3,1,1,10,1,1,1,0,2
2025,25,1,0,2,1,364.6,1,3,2,0,1,1,5,0,1,1,0,2
2036,19,1,1,1,4,277.0,0,4,0,1,0,0,30,0,0,0,1,2
2047,22,0,0,4,4,326.2,2,4,0,1,0,0,30,2,1,1,0,2
2058,25,1,3,4,5,305.5,0,3,2,0,1,1,5,0,0,0,0,2
2069,18,0,2,1,6,365.7,0,2,4,3,1,1,10,1,0,1,0,2
2080,17,0,3,2,3,275.8,0,4,0,1,0,0,30,2,1,1,1,2
2091,17,0,3,3,3,274.8,2,1,3,2,0,1,2,1,1,0,1,2
2102,20,0,1,1,4,282.0,0,2,4,3,1,1,10,1,0,1,0,2
2113,20,0,3,0,6,236.3,3,3,2,0,1,1,5,2,1,1,0,2
2124,19,1,0,2,3,284.2,3,1,3,2,0,1,2,2,0,1,1,2
2135,17,0,0,4,5,277.2,4,2,4,3,1,1,10,2,1,1,0,2
2146,24,0,1,0,3,304.5,0,1,3,2,0,1,2,0,1,1,0,2
2157,18,0,3,4,5,310.3,1,1,3,2,0,1,2,1,0,1,0,2
2168,25,1,1,0,3,356.3,0,2,4,3,1,1,10,2,0,1,0,2
2179,23,1,0,0,6,328.5,3,1,3,2,0,1,2,0,0,1,0,2
2190,21,1,4,3,5,282.7,1,0,1,2,1,1,1,2,1,0,1,2
2201,20,0,1,4,2,273.0,3,0,1,2,1,1,1,0,0,1,1,2
2212,22,1,1,2,6,314.8,3,0,1,2,1,1,1,0,1,1,0,2
2223,21,0,0,1,3,260.4,0,1,3,2,0,1,2,0,0,1,1,2
2234,18,1,1,0,3,354.9,3,3,2,0,1,1,5,1,1,0,1,2
2245,23,0,1,1,6,335.4,2,2,4,3,1,1,10,2,1,1,0,2
2256,19,0,4,2,2,285.9,0,4,0,1,0,0,30,1,1,0,0,2
2267,21,1,4,4,1,248.6,0,0,1,2,1,1,1,1,0,0,1,2
2278,20,1,3,3,2,340.6,4,4,0,1,0,0,30,1,1,1,0,2
2289,21,1,3,3,4,296.6,2,4,0,1,0,0,30,0,0,1,1,2
2300,18,1,4,1,3,337.1,3,2,4,3,1,1,10,1,0,1,0,2
2311,22,0,0,4,5,252.2,0,2,4,3,1,1,10,0,1,0,1,2
2322,19,0,0,1,2,282.0,2,2,4,3,1,1,10,1,0,0,0,2
2333,21,1,2,4,3,300.2,4,2,4,3,1,1,10,2,0,1,1,2
2344,23,1,1,3,6,301.4,0,0,1,2,1,1,1,1,0,1,1,2
2355,20,0,3,1,5,286.5,2,4,0,1,0,0,30,2,1,1,0,2
2366,25,1,0,4,3,318.7,4,3,2,0,1,1,5,0,1,1,1,2
2377,17,1,0,4,5,268.0,1,4,0,1,0,0,30,0,1,1,0,2
2388,23,0,0,2,3,295.7,4,2,4,3,1,1,10,1,1,1,0,2
2399,23,0,4,3,1,303.6,2,2,4,3,1,1,10,0,1,0,1,2
2410,22,0,0,1,3,315.4,0,4,0,1,0,0,30,2,1,1,0,2
2421,25,0,3,4,2,321.3,4,4,0,1,0,0,30,2,1,1,1,2
2432,22,1,0,1,3,266.3,4,1,3,2,0,1,2,0,0,1,0,2
2443,17,1,2,3,5,254.0,3,1,3,2,0,1,2,1,1,0,1,2
2454,17,1,4,4,6,338.3,0,1,3,2,0,1,2,0,0,1,1,2
2465,20,0,2,1,5,310.0,2,4,0,1,0,0,30,0,0,1,1,2
2476,25,0,3,0,2,277.5,0,1,3,2,0,1,2,2,0,1,1,2
2487,19,1,1,4,5,346.5,1,4,0,1,0,0,30,1,0,1,0,2
2498,25,1,1,1,5,303.5,1,1,3,2,0,1,2,1,1,1,1,2
2509,22,1,2,1,5,335.4,0,4,0,1,0,0,30,1,1,0,0,2
2520,21,0,3,2,4,302.0,1,3,2,0,1,1,5,2,0,1,1,2
2531,17,1,2,2,5,361.8,4,4,0,1,0,0,30,2,0,0,1,2
2542,19,0,2,0,6,352.7,2,1,3,2,0,1,2,2,0,0,1,2
2553,23,1,0,3,4,292.5,0,4,0,1,0,0,30,0,0,0,0,2
2564,22,0,3,2,3,329.1,2,1,3,2,0,1,2,0,1,0,0,2
2575,22,1,3,1,6,319.4,4,3,2,0,1,1,5,1,1,1,0,2
2586,21,1,4,2,2,341.1,3,0,1,2,1,1,1,2,1,0,1,2
2597,19,0,0,2,4,271.1,0,3,2,0,1,1,5,0,1,0,1,2
2608,19,1,4,4,3,320.6,0,4,0,1,0,0,30,1,1,1,1,2
2619,23,1,2,2,1,331.8,2,1,3,2,0,1,2,2,1,0,0,2
2630,20,1,0,1,5,247.2,2,0,1,2,1,1,1,2,1,0,0,2
2641,25,0,4,2,2,264.5,0,2,4,3,1,1,10,2,0,1,1,2
2652,20,0,0,1,5,238.8,1,4,0,1,0,0,30,2,1,0,0,2
2663,20,0,0,0,1,291.9,1,3,2,0,1,1,5,2,1,1,1,2
2674,18,1,0,0,2,321.5,1,2,4,3,1,1,10,2,0,1,0,2
2685,20,1,3,0,5,345.1,4,1,3,2,0,1,2,2,1,1,0,2
2696,18,1,0,3,2,302.2,4,1,3,2,0,1,2,1,1,0,1,2
2707,24,0,0,4,1,348.9,0,4,0,1,0,0,30,2,0,0,0,2
2718,24,1,2,0,2,258.6,3,3,2,0,1,1,5,0,0,1,0,2
2729,17,1,0,3,4,248.9,2,1,3,2,0,1,2,1,1,0,1,2
